,건수,건수,건수,건수,건수,건수,건수,건수,건수,건수
죄종,강간 발생,강도 발생,살인 발생,절도 발생,폭력 발생,강간 검거,강도 검거,살인 검거,절도 검거,폭력 검거
구분,,,,,,,,,,
강남,339,24,3,2438,2336,269,26,3,1129,2096
강동,160,14,4,1754,2530,152,13,5,902,2201
강북,217,5,7,1222,2778,159,4,6,672,2482
강서,275,10,9,1952,3204,239,10,10,1070,2768
관악,322,12,6,2103,3235,264,10,7,937,2707
광진,279,11,4,2636,2392,234,6,4,1057,2011
구로,273,10,9,1910,3164,181,13,9,861,2680
금천,175,7,6,1264,2193,143,7,6,654,1946
남대문,57,5,1,946,890,52,4,1,429,832
노원,159,6,5,1857,2516,142,9,6,740,2124
도봉,123,5,3,866,1441,121,5,3,492,1309
동대문,190,10,5,1940,2642,158,12,5,1071,2377
동작,325,7,8,1226,1661,149,7,6,554,1444
마포,399,4,4,2527,2939,320,7,4,940,2500
방배,78,4,1,472,500,51,5,1,293,446
서대문,175,5,6,1503,1976,147,4,7,752,1644
서부,54,4,4,781,1128,49,2,4,389,980
서초,350,9,4,1733,1838,220,5,4,814,1583
성동,104,3,4,1296,1619,78,5,5,896,1408
성북,103,3,2,790,1176,75,3,2,381,1004
송파,234,15,9,2543,3289,184,12,8,1048,2808
수서,177,15,2,1149,1666,144,16,2,789,1431
양천,131,7,5,1719,2250,108,7,5,755,1918
영등포,356,19,13,2341,3593,225,14,13,940,3007
용산,251,9,4,1489,2384,214,10,4,599,2008
은평,102,5,2,885,1536,93,5,2,501,1328
종로,137,6,4,952,1291,113,3,0,389,1135
종암,51,5,2,680,932,42,5,1,344,815
중랑,164,14,8,1691,3164,150,14,7,1052,2712
중부,141,3,2,1204,1335,96,3,2,485,1164
혜화,101,6,2,988,972,64,6,2,379,842
