죄종,강간 발생,강도 발생,살인 발생,절도 발생,폭력 발생,강간 검거,강도 검거,살인 검거,절도 검거,폭력 검거,자치구
강남,339.0,24.0,3.0,2438.0,2336.0,269.0,26.0,3.0,1129.0,2096.0,강남구
강동,160.0,14.0,4.0,1754.0,2530.0,152.0,13.0,5.0,902.0,2201.0,강동구
강북,217.0,5.0,7.0,1222.0,2778.0,159.0,4.0,6.0,672.0,2482.0,강북구
강서,275.0,10.0,9.0,1952.0,3204.0,239.0,10.0,10.0,1070.0,2768.0,강서구
관악,322.0,12.0,6.0,2103.0,3235.0,264.0,10.0,7.0,937.0,2707.0,관악구
광진,279.0,11.0,4.0,2636.0,2392.0,234.0,6.0,4.0,1057.0,2011.0,광진구
구로,273.0,10.0,9.0,1910.0,3164.0,181.0,13.0,9.0,861.0,2680.0,구로구
금천,175.0,7.0,6.0,1264.0,2193.0,143.0,7.0,6.0,654.0,1946.0,금천구
남대문,57.0,5.0,1.0,946.0,890.0,52.0,4.0,1.0,429.0,832.0,중구
노원,159.0,6.0,5.0,1857.0,2516.0,142.0,9.0,6.0,740.0,2124.0,노원구
도봉,123.0,5.0,3.0,866.0,1441.0,121.0,5.0,3.0,492.0,1309.0,도봉구
동대문,190.0,10.0,5.0,1940.0,2642.0,158.0,12.0,5.0,1071.0,2377.0,동대문구
동작,325.0,7.0,8.0,1226.0,1661.0,149.0,7.0,6.0,554.0,1444.0,동작구
마포,399.0,4.0,4.0,2527.0,2939.0,320.0,7.0,4.0,940.0,2500.0,마포구
방배,78.0,4.0,1.0,472.0,500.0,51.0,5.0,1.0,293.0,446.0,서초구
서대문,175.0,5.0,6.0,1503.0,1976.0,147.0,4.0,7.0,752.0,1644.0,서대문구
서부,54.0,4.0,4.0,781.0,1128.0,49.0,2.0,4.0,389.0,980.0,은평구
서초,350.0,9.0,4.0,1733.0,1838.0,220.0,5.0,4.0,814.0,1583.0,서초구
성동,104.0,3.0,4.0,1296.0,1619.0,78.0,5.0,5.0,896.0,1408.0,성동구
성북,103.0,3.0,2.0,790.0,1176.0,75.0,3.0,2.0,381.0,1004.0,성북구
송파,234.0,15.0,9.0,2543.0,3289.0,184.0,12.0,8.0,1048.0,2808.0,송파구
수서,177.0,15.0,2.0,1149.0,1666.0,144.0,16.0,2.0,789.0,1431.0,강남구
양천,131.0,7.0,5.0,1719.0,2250.0,108.0,7.0,5.0,755.0,1918.0,양천구
영등포,356.0,19.0,13.0,2341.0,3593.0,225.0,14.0,13.0,940.0,3007.0,영등포구
용산,251.0,9.0,4.0,1489.0,2384.0,214.0,10.0,4.0,599.0,2008.0,용산구
은평,102.0,5.0,2.0,885.0,1536.0,93.0,5.0,2.0,501.0,1328.0,은평구
종로,137.0,6.0,4.0,952.0,1291.0,113.0,3.0,0.0,389.0,1135.0,종로구
종암,51.0,5.0,2.0,680.0,932.0,42.0,5.0,1.0,344.0,815.0,성북구
중랑,164.0,14.0,8.0,1691.0,3164.0,150.0,14.0,7.0,1052.0,2712.0,중랑구
중부,141.0,3.0,2.0,1204.0,1335.0,96.0,3.0,2.0,485.0,1164.0,중구
혜화,101.0,6.0,2.0,988.0,972.0,64.0,6.0,2.0,379.0,842.0,종로구
