자치구,강간,강도,살인,절도,폭력,폭력검거율,절도검거율,살인검거율,강도검거율,강간검거율,CCTV,인구수,범죄,검거율
강남구,0.9999999999999999,0.9999999999999999,0.19999999999999996,1.0,1.0,88.13093453273363,53.4708670197937,100.0,100.0,80.03875968992247,3238,551888,0.8399999999999999,94.5326019670556
강동구,0.13592233009708732,0.3055555555555555,0.09999999999999998,0.32635060639470787,0.42522452167122227,86.99604743083003,51.425313568985175,100.0,92.85714285714286,95.0,1010,437050,0.2586106027437146,95.57243737053625
강북구,0.27427184466019416,0.055555555555555566,0.4,0.13083425211319366,0.5220616946505272,89.34485241180705,54.99181669394435,85.71428571428571,80.0,73.27188940092167,831,326063,0.2765446693958941,85.94169818681891
강서구,0.4150485436893203,0.19444444444444448,0.6,0.3991179713340684,0.688402967590785,86.3920099875156,54.815573770491795,100.0,100.0,86.9090909090909,911,606981,0.45940278541172364,95.98455870210458
관악구,0.529126213592233,0.25,0.30000000000000004,0.45461227489893424,0.7005076142131981,83.67851622874807,44.55539705183072,100.0,83.33333333333334,81.98757763975155,2109,521960,0.4468492205408731,88.23572723591309
광진구,0.424757281553398,0.2222222222222222,0.09999999999999998,0.6504961411245866,0.3713393205778993,84.07190635451505,40.098634294385434,100.0,54.54545454545454,83.87096774193549,878,370519,0.35376299309562126,81.29267484299383
구로구,0.4101941747572815,0.19444444444444448,0.6,0.3836824696802646,0.672784068723155,84.70290771175726,45.07853403141361,100.0,100.0,66.30036630036629,1884,440305,0.4522210315210291,88.80228172507655
금천구,0.17233009708737862,0.11111111111111109,0.30000000000000004,0.1462697537669974,0.2936352987114409,88.73689010487917,51.74050632911392,100.0,100.0,81.71428571428572,1348,252752,0.20466925213538562,94.65616430430545
노원구,0.1334951456310679,0.08333333333333333,0.19999999999999996,0.3642043366409408,0.4197579070675518,84.41971383147853,39.84921917070544,100.0,100.0,89.30817610062893,1566,553177,0.24015814453457876,92.72476092503025
도봉구,0.04611650485436891,0.055555555555555566,0.0,0.0,0.0,90.83969465648855,56.812933025404156,100.0,100.0,98.3739837398374,825,344096,0.020334412081984894,100.0
동대문구,0.20873786407766987,0.19444444444444448,0.19999999999999996,0.3947078280044101,0.4689574385005857,89.96971990915974,55.206185567010316,100.0,100.0,83.15789473684211,1870,364527,0.293369515005422,96.03323865535259
동작구,0.5364077669902912,0.11111111111111109,0.5,0.1323042998897464,0.08590394377196409,86.93558097531607,45.18760195758564,75.0,100.0,45.84615384615385,1302,407275,0.2731454243526225,79.13638508113895
마포구,0.7160194174757281,0.027777777777777776,0.09999999999999998,0.6104373392135245,0.5849277625927374,85.06294658046954,37.198258804907006,100.0,100.0,80.20050125313283,980,385507,0.4078324594119535,90.23266691546597
서대문구,0.17233009708737862,0.055555555555555566,0.30000000000000004,0.23410510841602356,0.20890277235454902,83.19838056680162,50.033266799733866,100.0,80.0,84.0,1254,323261,0.19417870668270137,89.06007785058868
서초구,0.7864077669902912,0.2777777777777778,0.19999999999999996,0.492098493201029,0.35025380710659904,86.7835757057314,50.204081632653065,100.0,76.92307692307693,63.3177570093458,2297,443989,0.4213075690151394,84.57533286374421
성동구,0.0,0.0,0.09999999999999998,0.15803013597941934,0.06950409996095275,86.96726374305128,69.1358024691358,100.0,100.0,75.0,1327,316068,0.06550684718807441,96.65411326871876
성북구,0.12135922330097082,0.1388888888888889,0.09999999999999998,0.22197721425946343,0.26044513861772756,86.29032258064517,49.31972789115646,75.0,100.0,75.97402597402598,1651,451829,0.16853409301341013,86.67287254757588
송파구,0.31553398058252424,0.3333333333333333,0.6,0.6163175303197355,0.7215931276844982,85.37549407114624,41.211167911915055,88.88888888888889,80.0,78.63247863247864,1081,673161,0.5173555943840182,83.87571950291095
양천구,0.06553398058252424,0.11111111111111109,0.19999999999999996,0.31348768834987134,0.3158922295978134,85.24444444444444,43.92088423502037,100.0,100.0,82.44274809160305,2482,471026,0.201205001928264,92.28330019570994
영등포구,0.6116504854368932,0.4444444444444445,1.0,0.5420801176038221,0.8402967590784851,83.69050932368495,40.153780435711234,100.0,73.68421052631578,63.20224719101124,1277,404501,0.687694361312729,80.87650786729465
용산구,0.3567961165048543,0.16666666666666669,0.09999999999999998,0.22895994119808888,0.36821554080437335,84.22818791946308,40.22834116856951,100.0,100.0,85.2589641434263,2096,245245,0.24412765303479667,91.8589794284857
은평구,0.12621359223300965,0.16666666666666669,0.30000000000000004,0.29400955531054757,0.47754783287778224,86.63663663663664,53.421368547418965,100.0,77.77777777777779,91.02564102564102,2108,489045,0.27288752941760125,91.66749550754606
종로구,0.3252427184466019,0.25,0.30000000000000004,0.3947078280044101,0.3209683717297931,87.36190897039329,39.58762886597938,33.33333333333333,75.0,74.36974789915966,1619,163569,0.31818378363616107,69.42469600229319
중구,0.2281553398058252,0.1388888888888889,0.0,0.47188533627342893,0.30613041780554473,89.70786516853933,42.51162790697675,100.0,87.5,74.74747474747475,1023,135427,0.22901199655473753,88.4402315291479
중랑구,0.14563106796116504,0.3055555555555555,0.5,0.3031973539140022,0.672784068723155,85.71428571428571,62.211709047900655,87.5,100.0,91.46341463414635,916,410296,0.3854336092307756,95.70940353437733
